n,precision,salt,estimator,result,abs_error,rel_error,server_elapsed_s,wall_s
1000000,12,0,uniqCombined64(12),1004993,4993,4.993000e-03,0.099,0.109
1000000,12,1,uniqCombined64(12),979857,-20143,-2.014300e-02,0.101,0.094
1000000,12,2,uniqCombined64(12),993022,-6978,-6.978000e-03,0.099,0.094
1000000,12,3,uniqCombined64(12),986919,-13081,-1.308100e-02,0.101,0.109
1000000,12,4,uniqCombined64(12),980262,-19738,-1.973800e-02,0.1,0.094
1000000,12,5,uniqCombined64(12),1009178,9178,9.178000e-03,0.101,0.109
1000000,12,6,uniqCombined64(12),1032183,32183,3.218300e-02,0.1,0.094
1000000,12,7,uniqCombined64(12),999203,-797,-7.970000e-04,0.102,0.109
1000000,12,8,uniqCombined64(12),1016140,16140,1.614000e-02,0.1,0.094
1000000,12,9,uniqCombined64(12),1003124,3124,3.124000e-03,0.099,0.109
1000000,12,10,uniqCombined64(12),985231,-14769,-1.476900e-02,0.1,0.094
1000000,12,11,uniqCombined64(12),997770,-2230,-2.230000e-03,0.098,0.094
1000000,12,12,uniqCombined64(12),995999,-4001,-4.001000e-03,0.099,0.109
1000000,12,13,uniqCombined64(12),988380,-11620,-1.162000e-02,0.097,0.094
1000000,12,14,uniqCombined64(12),987893,-12107,-1.210700e-02,0.1,0.094
1000000,12,15,uniqCombined64(12),997970,-2030,-2.030000e-03,0.102,0.109
1000000,12,16,uniqCombined64(12),989290,-10710,-1.071000e-02,0.107,0.109
1000000,12,17,uniqCombined64(12),994946,-5054,-5.054000e-03,0.098,0.094
1000000,12,18,uniqCombined64(12),1009292,9292,9.292000e-03,0.101,0.094
1000000,12,19,uniqCombined64(12),1004453,4453,4.453000e-03,0.099,0.109
1000000,12,20,uniqCombined64(12),996349,-3651,-3.651000e-03,0.099,0.094
1000000,12,21,uniqCombined64(12),1003924,3924,3.924000e-03,0.098,0.094
1000000,12,22,uniqCombined64(12),1016679,16679,1.667900e-02,0.101,0.109
1000000,12,23,uniqCombined64(12),1003264,3264,3.264000e-03,0.099,0.094
1000000,12,24,uniqCombined64(12),1006823,6823,6.823000e-03,0.1,0.094
1000000,12,25,uniqCombined64(12),1000374,374,3.740000e-04,0.101,0.109
1000000,12,26,uniqCombined64(12),978129,-21871,-2.187100e-02,0.104,0.109
1000000,12,27,uniqCombined64(12),996086,-3914,-3.914000e-03,0.1,0.094
1000000,12,28,uniqCombined64(12),1015070,15070,1.507000e-02,0.103,0.11
1000000,12,29,uniqCombined64(12),1043910,43910,4.391000e-02,0.1,0.093
1000000,12,30,uniqCombined64(12),988384,-11616,-1.161600e-02,0.1,0.094
1000000,13,0,uniqCombined64(13),995076,-4924,-4.924000e-03,0.098,0.109
1000000,13,1,uniqCombined64(13),978402,-21598,-2.159800e-02,0.1,0.094
1000000,13,2,uniqCombined64(13),1001883,1883,1.883000e-03,0.1,0.11
1000000,13,3,uniqCombined64(13),997023,-2977,-2.977000e-03,0.102,0.093
1000000,13,4,uniqCombined64(13),986134,-13866,-1.386600e-02,0.102,0.11
1000000,13,5,uniqCombined64(13),1007925,7925,7.925000e-03,0.103,0.093
1000000,13,6,uniqCombined64(13),1025681,25681,2.568100e-02,0.102,0.11
1000000,13,7,uniqCombined64(13),991909,-8091,-8.091000e-03,0.1,0.094
