experiment,n,salt,estimator,result,abs_error,rel_error,server_elapsed_s,wall_s,attempts
A_unsalted,100000,0,uniq,100315,315,3.150000e-03,0.101,0.109,1
A_unsalted,100000,0,uniqCombined64,100314,314,3.140000e-03,0.1,0.094,1
A_unsalted,1000000,0,uniq,1001943,1943,1.943000e-03,0.108,0.109,1
A_unsalted,1000000,0,uniqCombined64,1001148,1148,1.148000e-03,0.111,0.11,1
A_unsalted,10000000,0,uniq,9983940,-16060,-1.606000e-03,0.129,0.125,1
A_unsalted,10000000,0,uniqCombined64,10021969,21969,2.196900e-03,0.177,0.172,1
A_unsalted,100000000,0,uniq,99951658,-48342,-4.834200e-04,0.247,0.25,1
A_unsalted,100000000,0,uniqCombined64,99903523,-96477,-9.647700e-04,0.837,0.844,1
A_unsalted,1000000000,0,uniq,1001803777,1803777,1.803777e-03,1.883,1.891,1
A_unsalted,1000000000,0,uniqCombined64,999435738,-564262,-5.642620e-04,7.617,7.609,1
A_unsalted,10000000000,0,uniq,10107726683,107726683,1.077267e-02,16.429,16.438,1
A_unsalted,10000000000,0,uniqCombined64,9998568925,-1431075,-1.431075e-04,64.559,64.562,1
A_unsalted,100000000000,0,uniq,18446743978444128518,18446743878444128518,1.844674e+08,137.971,137.969,1
A_unsalted,100000000000,0,uniqCombined64,100097891658,97891658,9.789166e-04,638.153,638.156,1
A_exact,100000,0,uniqExact,100000,0,0.000000e+00,0.097,0.094,1
A_exact,1000000,0,uniqExact,1000000,0,0.000000e+00,0.131,0.125,1
A_exact,10000000,0,uniqExact,10000000,0,0.000000e+00,0.479,0.485,1
A_exact,100000000,0,uniqExact,100000000,0,0.000000e+00,4.345,4.343,1
A_exact,1000000000,0,uniqExact,FAIL,,,,1726.157,
B_salted,100000,1,uniq,100007,7,7.000000e-05,0.109,0.109,1
B_salted,100000,2,uniq,99560,-440,-4.400000e-03,0.099,0.094,1
B_salted,100000,3,uniq,99609,-391,-3.910000e-03,0.098,0.093,1
B_salted,100000,4,uniq,100292,292,2.920000e-03,0.097,0.11,1
B_salted,100000,5,uniq,99905,-95,-9.500000e-04,0.095,0.094,1
B_salted,100000,6,uniq,99859,-141,-1.410000e-03,0.096,0.093,1
B_salted,100000,7,uniq,99807,-193,-1.930000e-03,0.099,0.094,1
B_salted,100000,8,uniq,99885,-115,-1.150000e-03,0.098,0.094,1
B_salted,100000,9,uniq,100379,379,3.790000e-03,0.098,0.109,1
B_salted,100000,10,uniq,99891,-109,-1.090000e-03,0.098,0.094,1
B_salted,100000,11,uniq,99521,-479,-4.790000e-03,0.097,0.094,1
B_salted,100000,12,uniq,100639,639,6.390000e-03,0.097,0.093,1
B_salted,100000,13,uniq,99704,-296,-2.960000e-03,0.097,0.11,1
B_salted,100000,14,uniq,99895,-105,-1.050000e-03,0.099,0.094,1
B_salted,100000,15,uniq,99904,-96,-9.600000e-04,0.098,0.093,1
B_salted,100000,16,uniq,99924,-76,-7.600000e-04,0.098,0.11,1
B_salted,100000,17,uniq,100088,88,8.800000e-04,0.098,0.093,1
B_salted,100000,18,uniq,100434,434,4.340000e-03,0.098,0.094,1
B_salted,100000,19,uniq,100209,209,2.090000e-03,0.097,0.094,1
B_salted,100000,20,uniq,99846,-154,-1.540000e-03,0.098,0.109,1
B_salted,100000,21,uniq,99632,-368,-3.680000e-03,0.101,0.094,1
B_salted,100000,22,uniq,100249,249,2.490000e-03,0.105,0.109,1
B_salted,100000,23,uniq,99863,-137,-1.370000e-03,0.097,0.094,1
B_salted,100000,24,uniq,100046,46,4.600000e-04,0.098,0.094,1
B_salted,100000,25,uniq,100460,460,4.600000e-03,0.098,0.109,1
B_salted,100000,26,uniq,99862,-138,-1.380000e-03,0.099,0.094,1
B_salted,100000,27,uniq,100046,46,4.600000e-04,0.097,0.094,1
B_salted,100000,28,uniq,99573,-427,-4.270000e-03,0.098,0.094,1
B_salted,100000,29,uniq,99812,-188,-1.880000e-03,0.098,0.109,1
B_salted,100000,30,uniq,100196,196,1.960000e-03,0.098,0.094,1
B_salted,100000,31,uniq,100312,312,3.120000e-03,0.098,0.093,1
B_salted,100000,32,uniq,99950,-50,-5.000000e-04,0.097,0.11,1
B_salted,100000,33,uniq,100760,760,7.600000e-03,0.095,0.094,1
B_salted,100000,34,uniq,99747,-253,-2.530000e-03,0.097,0.093,1
B_salted,100000,35,uniq,99944,-56,-5.600000e-04,0.097,0.094,1
B_salted,100000,36,uniq,100328,328,3.280000e-03,0.095,0.094,1
B_salted,100000,37,uniq,100315,315,3.150000e-03,0.098,0.109,1
B_salted,100000,38,uniq,100450,450,4.500000e-03,0.1,0.094,1
B_salted,100000,39,uniq,99953,-47,-4.700000e-04,0.098,0.094,1
B_salted,100000,40,uniq,100438,438,4.380000e-03,0.096,0.093,1
B_salted,100000,41,uniq,100376,376,3.760000e-03,0.095,0.11,1
B_salted,100000,42,uniq,99622,-378,-3.780000e-03,0.098,0.094,1
B_salted,100000,43,uniq,100516,516,5.160000e-03,0.097,0.093,1
B_salted,100000,44,uniq,99928,-72,-7.200000e-04,0.099,0.094,1
B_salted,100000,45,uniq,100200,200,2.000000e-03,0.097,0.109,1
B_salted,100000,46,uniq,99623,-377,-3.770000e-03,0.097,0.094,1
B_salted,100000,47,uniq,99607,-393,-3.930000e-03,0.097,0.094,1
B_salted,100000,48,uniq,100236,236,2.360000e-03,0.102,0.109,1
